symbol,price,change,score
BHARTIARTL.BO,2149.89990234375,1.7849,1.784867
BHARTIARTL.NS,2149.199951171875,1.7517,1.751728
AXISBANK.BO,1265.25,1.2727,1.272664
AXISBANK.NS,1265.4000244140625,1.2644,1.264409
ASIANPAINT.BO,2905.5,0.7979,0.797918
TMCV.NS,325.1499938964844,0.7904,0.790449
ASIANPAINT.NS,2906.0,0.7838,0.7838
SHRIRAMFIN.BO,819.8499755859375,0.3796,0.37955
TITAN.BO,3883.300048828125,0.3657,0.365717
MARUTI.NS,15930.0,0.3275,0.327497
MARUTI.BO,15928.849609375,0.3111,0.31109
SHRIRAMFIN.NS,820.2000122070312,0.2812,0.281206
TITAN.NS,3879.199951171875,0.274,0.273997
POWERGRID.BO,274.20001220703125,0.2376,0.237625
POWERGRID.NS,274.20001220703125,0.2376,0.237625
EICHERMOT.NS,6814.5,0.228,0.227975
EICHERMOT.BO,6811.9501953125,0.1772,0.177213
RELIANCE.BO,1519.6500244140625,0.1153,0.115291
RELIANCE.NS,1519.4000244140625,0.0724,0.072448
DRREDDY.NS,1243.800048828125,-0.0482,-0.048214
SBIN.BO,972.5499877929688,-0.0668,-0.066792
SBILIFE.BO,1993.8499755859375,-0.0702,-0.070168
DRREDDY.BO,1243.550048828125,-0.0763,-0.076332
SBIN.NS,972.4500122070312,-0.0925,-0.09246
SBILIFE.NS,1993.300048828125,-0.1353,-0.135268
SUNPHARMA.BO,1759.699951171875,-0.2268,-0.226796
BAJAJ-AUTO.NS,8921.0,-0.2739,-0.273881
SUNPHARMA.NS,1758.800048828125,-0.2891,-0.289131
ITC.NS,405.8500061035156,-0.307,-0.30705
ITC.BO,405.75,-0.3316,-0.331615
MAXHEALTH.BO,1118.0,-0.3476,-0.347627
NESTLEIND.BO,1265.050048828125,-0.3701,-0.370148
TATASTEEL.BO,172.39999389648438,-0.3756,-0.375619
TMPV.NS,371.29998779296875,-0.3756,-0.375644
NTPC.BO,328.54998779296875,-0.3941,-0.394124
ICICIBANK.NS,1373.4000244140625,-0.4061,-0.40609
NESTLEIND.NS,1265.0999755859375,-0.4094,-0.409358
HDFCBANK.NS,992.4500122070312,-0.4114,-0.411417
TATASTEEL.NS,172.4499969482422,-0.4158,-0.415777
MAXHEALTH.NS,1116.699951171875,-0.4369,-0.436878
ONGC.NS,246.9499969482422,-0.4435,-0.443461
KOTAKBANK.NS,2093.10009765625,-0.466,-0.466014
BAJAJ-AUTO.BO,8914.75,-0.4728,-0.472805
TCS.NS,3087.10009765625,-0.4867,-0.486747
KOTAKBANK.BO,2091.85009765625,-0.4923,-0.492334
ONGC.BO,246.75,-0.504,-0.504032
ICICIBANK.BO,1371.9000244140625,-0.5077,-0.507651
HDFCBANK.BO,991.5999755859375,-0.5217,-0.521671
NTPC.NS,328.45001220703125,-0.53,-0.529982
TCS.BO,3085.64990234375,-0.5447,-0.544718
ULTRACEMCO.NS,11707.0,-0.6028,-0.602819
ULTRACEMCO.BO,11706.349609375,-0.6261,-0.626056
TRENT.NS,4374.0,-0.6947,-0.69473
HCLTECH.NS,1595.199951171875,-0.6972,-0.697216
LT.NS,3999.60009765625,-0.6977,-0.697665
LT.BO,3998.949951171875,-0.7237,-0.72367
HCLTECH.BO,1594.75,-0.7252,-0.725226
ADANIPORTS.NS,1495.0,-0.8358,-0.835764
TRENT.BO,4371.7001953125,-0.8595,-0.859486
BEL.NS,420.8999938964844,-0.8597,-0.859732
BEL.BO,420.8500061035156,-0.8598,-0.859834
HINDUNILVR.NS,2404.0,-0.866,-0.865979
ADANIPORTS.BO,1495.0,-0.8752,-0.875212
HINDUNILVR.BO,2403.64990234375,-0.9274,-0.927395
COALINDIA.NS,383.95001220703125,-1.0055,-1.005542
GRASIM.NS,2762.0,-1.0142,-1.01423
ADANIENT.NS,2436.800048828125,-1.0236,-1.023556
M&M.BO,3696.10009765625,-1.0455,-1.045468
COALINDIA.BO,384.04998779296875,-1.0563,-1.056294
JSWSTEEL.NS,1163.0,-1.0634,-1.063377
M&M.NS,3694.800048828125,-1.0737,-1.073653
GRASIM.BO,2761.85009765625,-1.0799,-1.079868
HDFCLIFE.NS,761.7999877929688,-1.097,-1.097048
ETERNAL.NS,306.1499938964844,-1.0984,-1.098367
JSWSTEEL.BO,1161.949951171875,-1.1359,-1.135888
HDFCLIFE.BO,761.5499877929688,-1.1359,-1.135921
ETERNAL.BO,305.8999938964844,-1.1472,-1.147203
ADANIENT.BO,2436.550048828125,-1.1501,-1.150142
HINDALCO.NS,797.1500244140625,-1.2389,-1.238927
HINDALCO.BO,797.2000122070312,-1.245,-1.244966
BAJFINANCE.BO,1013.5499877929688,-1.2568,-1.256755
BAJFINANCE.NS,1013.5999755859375,-1.2856,-1.285554
WIPRO.NS,240.89999389648438,-1.2907,-1.290723
WIPRO.BO,240.8000030517578,-1.3115,-1.311474
APOLLOHOSP.NS,7385.5,-1.3623,-1.36227
CIPLA.NS,1514.5,-1.3741,-1.374054
APOLLOHOSP.BO,7384.14990234375,-1.3922,-1.392153
BAJAJFINSV.BO,2050.449951171875,-1.4041,-1.40408
CIPLA.BO,1514.6500244140625,-1.406,-1.40602
INFY.NS,1486.4000244140625,-1.4062,-1.406205
BAJAJFINSV.NS,2050.199951171875,-1.4137,-1.41374
INFY.BO,1485.6500244140625,-1.456,-1.455953
JIOFIN.BO,305.95001220703125,-1.9391,-1.939099
JIOFIN.NS,305.95001220703125,-1.9391,-1.939099
TATACONSUM.BO,1154.199951171875,-2.1035,-2.103482
TATACONSUM.NS,1154.0999755859375,-2.1037,-2.10366
TECHM.NS,1422.0,-2.12,-2.120047
TECHM.BO,1421.0999755859375,-2.2291,-2.229104
INDIGO.NS,5739.5,-2.2731,-2.273114
INDIGO.BO,5739.5498046875,-2.3222,-2.322161
